time,ax,ay,az,atotal
2021-03-04 17:30:34.6420,-0.16,0.28,0.02,0.32
2021-03-04 17:30:34.6520,-0.05,0.24,-0.07,0.25
2021-03-04 17:30:34.6630,0.05,0.12,-0.12,0.17
2021-03-04 17:30:34.6730,0.11,-0.04,-0.14,0.18
2021-03-04 17:30:34.6930,0.17,-0.09,-0.1,0.21
2021-03-04 17:30:34.6960,0.23,-0.08,-0.06,0.25
2021-03-04 17:30:34.7010,0.24,-0.08,0.02,0.25
2021-03-04 17:30:34.7110,0.19,-0.06,0.11,0.22
2021-03-04 17:30:34.7210,0.1,-0.13,0.11,0.19
2021-03-04 17:30:34.7310,-0.01,-0.19,0.14,0.23
2021-03-04 17:30:34.7420,-0.1,-0.12,0.16,0.22
2021-03-04 17:30:34.7510,-0.13,0.01,0.11,0.17
2021-03-04 17:30:34.7630,-0.14,0.08,-0.01,0.16
2021-03-04 17:30:34.7710,-0.11,0.04,-0.16,0.19
2021-03-04 17:30:34.7900,-0.04,-0.04,-0.27,0.27
2021-03-04 17:30:34.7910,0.03,-0.05,-0.29,0.29
2021-03-04 17:30:34.8010,0.09,-0.03,-0.26,0.27
2021-03-04 17:30:34.8110,0.12,0.0,-0.18,0.21
2021-03-04 17:30:34.8210,0.09,0.0,-0.09,0.12
2021-03-04 17:30:34.8310,0.02,0.02,0.02,0.03
2021-03-04 17:30:34.8410,-0.04,0.06,0.1,0.12
2021-03-04 17:30:34.8510,-0.1,0.1,0.15,0.2
2021-03-04 17:30:34.8610,-0.12,0.15,0.15,0.24
2021-03-04 17:30:34.8720,-0.1,0.16,0.14,0.23
2021-03-04 17:30:34.8910,-0.06,0.11,0.11,0.16
2021-03-04 17:30:34.8930,0.0,0.01,0.06,0.06
2021-03-04 17:30:34.9000,0.05,-0.12,0.0,0.13
2021-03-04 17:30:34.9100,0.05,-0.27,-0.05,0.27
2021-03-04 17:30:34.9200,0.01,-0.37,-0.04,0.37
2021-03-04 17:30:34.9300,-0.07,-0.41,-0.03,0.41
2021-03-04 17:30:34.9400,-0.15,-0.36,-0.01,0.39
2021-03-04 17:30:34.9500,-0.22,-0.2,0.04,0.3
2021-03-04 17:30:34.9600,-0.27,-0.03,0.08,0.28
2021-03-04 17:30:34.9710,-0.29,0.14,0.1,0.33
2021-03-04 17:30:34.9910,-0.3,0.27,0.11,0.41
2021-03-04 17:30:34.9930,-0.26,0.33,0.12,0.43
2021-03-04 17:30:34.9990,-0.2,0.35,0.13,0.42
2021-03-04 17:30:35.0090,-0.14,0.3,0.12,0.35
2021-03-04 17:30:35.0190,-0.08,0.19,0.09,0.22
2021-03-04 17:30:35.0290,0.02,0.03,0.14,0.14
2021-03-04 17:30:35.0390,0.08,-0.09,0.15,0.19
2021-03-04 17:30:35.0490,0.15,-0.16,0.13,0.25
2021-03-04 17:30:35.0590,0.19,-0.22,0.17,0.33
2021-03-04 17:30:35.0690,0.19,-0.28,0.17,0.37
2021-03-04 17:30:35.0880,0.2,-0.3,0.22,0.42
2021-03-04 17:30:35.0900,0.16,-0.33,0.22,0.42
2021-03-04 17:30:35.0990,0.11,-0.33,0.22,0.41
2021-03-04 17:30:35.1090,0.04,-0.27,0.21,0.34
2021-03-04 17:30:35.1190,0.03,-0.23,0.18,0.29
2021-03-04 17:30:35.1290,0.03,-0.17,0.16,0.23
2021-03-04 17:30:35.1390,0.02,-0.03,0.17,0.17
2021-03-04 17:30:35.1490,0.06,0.13,0.21,0.25
2021-03-04 17:30:35.1590,0.09,0.27,0.23,0.36
2021-03-04 17:30:35.1690,0.09,0.35,0.2,0.41
2021-03-04 17:30:35.1890,0.08,0.35,0.18,0.4
2021-03-04 17:30:35.1910,0.08,0.26,0.16,0.31
2021-03-04 17:30:35.1980,0.09,0.16,0.09,0.2
2021-03-04 17:30:35.2080,0.1,0.07,-0.03,0.12
2021-03-04 17:30:35.2180,0.09,-0.03,-0.16,0.18
2021-03-04 17:30:35.2280,0.04,-0.1,-0.33,0.34
2021-03-04 17:30:35.2380,-0.02,-0.1,-0.42,0.43
2021-03-04 17:30:35.2480,-0.05,-0.06,-0.45,0.45
2021-03-04 17:30:35.2580,-0.06,-0.01,-0.48,0.48
2021-03-04 17:30:35.2680,-0.01,0.01,-0.5,0.5
2021-03-04 17:30:35.2890,0.06,-0.02,-0.52,0.52
2021-03-04 17:30:35.2910,0.14,-0.05,-0.45,0.47
2021-03-04 17:30:35.2970,0.21,-0.09,-0.31,0.38
2021-03-04 17:30:35.3080,0.22,-0.09,-0.16,0.28
2021-03-04 17:30:35.3180,0.2,-0.05,-0.03,0.2
2021-03-04 17:30:35.3280,0.14,0.03,0.1,0.17
2021-03-04 17:30:35.3370,0.04,0.15,0.2,0.25
2021-03-04 17:30:35.3470,-0.03,0.25,0.25,0.35
