time,ax,ay,az
2021-03-04 17:29:05.1680,0.03,-0.01,-0.12
2021-03-04 17:29:05.1860,0.11,-0.07,-0.06
2021-03-04 17:29:05.1880,0.13,-0.15,-0.02
2021-03-04 17:29:05.1970,0.09,-0.16,0.02
2021-03-04 17:29:05.2070,0.08,-0.15,0.05
2021-03-04 17:29:05.2170,0.03,-0.16,0.06
2021-03-04 17:29:05.2270,-0.04,-0.13,0.04
2021-03-04 17:29:05.2370,-0.08,-0.09,0.05
2021-03-04 17:29:05.2480,-0.11,-0.04,0.11
2021-03-04 17:29:05.2580,-0.09,0.01,0.16
2021-03-04 17:29:05.2670,-0.09,0.05,0.1
2021-03-04 17:29:05.2860,-0.09,0.08,0.03
2021-03-04 17:29:05.2880,-0.12,0.08,-0.03
2021-03-04 17:29:05.2960,-0.18,0.1,-0.02
2021-03-04 17:29:05.3070,-0.21,0.15,0.02
2021-03-04 17:29:05.3170,-0.19,0.13,0.04
2021-03-04 17:29:05.3270,-0.21,0.1,0.06
2021-03-04 17:29:05.3360,-0.23,0.05,0.08
2021-03-04 17:29:05.3470,-0.24,0,0.13
2021-03-04 17:29:05.3570,-0.28,-0.01,0.15
2021-03-04 17:29:05.3670,-0.32,-0.01,0.17
2021-03-04 17:29:05.3840,-0.38,0.02,0.16
2021-03-04 17:29:05.3860,-0.37,0.04,0.18
2021-03-04 17:29:05.3960,-0.36,0.04,0.15
2021-03-04 17:29:05.4060,-0.33,0.06,0.07
2021-03-04 17:29:05.4160,-0.29,0.09,0.01
2021-03-04 17:29:05.4260,-0.28,0.08,-0.09
2021-03-04 17:29:05.4360,-0.29,0.1,-0.15
2021-03-04 17:29:05.4460,-0.26,0.09,-0.14
2021-03-04 17:29:05.4570,-0.16,-0.01,-0.06
2021-03-04 17:29:05.4660,-0.06,0.11,0.07
2021-03-04 17:29:05.4820,0.09,0.11,0.16
2021-03-04 17:29:05.4850,0.16,0.04,0.11
2021-03-04 17:29:05.4950,0.23,0.02,0.05
2021-03-04 17:29:05.5050,0.25,-0.02,0
2021-03-04 17:29:05.5150,0.24,-0.06,0
2021-03-04 17:29:05.5250,0.26,-0.05,-0.01
2021-03-04 17:29:05.5350,0.26,-0.07,-0.04
2021-03-04 17:29:05.5450,0.25,-0.07,-0.06
2021-03-04 17:29:05.5560,0.26,-0.05,-0.1
2021-03-04 17:29:05.5650,0.25,0.02,-0.15
2021-03-04 17:29:05.5840,0.18,0.08,-0.12
2021-03-04 17:29:05.5870,0.12,0.09,-0.05
2021-03-04 17:29:05.5940,0.12,0.09,0
2021-03-04 17:29:05.6050,0.1,0.07,0
2021-03-04 17:29:05.6150,0.05,0.03,0
2021-03-04 17:29:05.6250,0.03,-0.01,-0.01
2021-03-04 17:29:05.6340,0.07,-0.04,-0.04
2021-03-04 17:29:05.6450,0.1,-0.09,-0.05
2021-03-04 17:29:05.6550,0.11,-0.1,-0.01
2021-03-04 17:29:05.6640,0.14,-0.09,0.03
2021-03-04 17:29:05.6820,0.14,-0.07,0.06
2021-03-04 17:29:05.6850,0.1,-0.04,0.11
2021-03-04 17:29:05.6940,0.1,0,0.18
2021-03-04 17:29:05.7040,0.11,0.02,0.22
2021-03-04 17:29:05.7140,0.16,0.02,0.27
2021-03-04 17:29:05.7240,0.22,0.03,0.31
2021-03-04 17:29:05.7350,0.27,0.02,0.28
2021-03-04 17:29:05.7440,0.32,-0.02,0.17
2021-03-04 17:29:05.7550,0.41,-0.09,0.05
2021-03-04 17:29:05.7640,0.4,-0.18,-0.05
2021-03-04 17:29:05.7840,0.32,-0.24,-0.17
2021-03-04 17:29:05.7860,0.27,-0.17,-0.25
2021-03-04 17:29:05.7930,0.28,-0.1,-0.29
2021-03-04 17:29:05.8030,0.21,-0.11,-0.23
2021-03-04 17:29:05.8130,0.15,-0.09,-0.22
2021-03-04 17:29:05.8230,0.21,0,-0.14
2021-03-04 17:29:05.8330,0.35,0.1,-0.04
2021-03-04 17:29:05.8440,0.39,0.24,-0.01
2021-03-04 17:29:05.8530,0.26,0.32,-0.03
2021-03-04 17:29:05.8630,0.14,0.31,-0.08
2021-03-04 17:29:05.8820,0.03,0.23,-0.14
2021-03-04 17:29:05.8840,-0.05,0.11,-0.17
2021-03-04 17:29:05.8920,-0.11,-0.01,-0.16
2021-03-04 17:29:05.9030,-0.08,-0.06,-0.12
2021-03-04 17:29:05.9130,0.02,-0.03,-0.08
2021-03-04 17:29:05.9230,0.12,0.04,-0.05
2021-03-04 17:29:05.9320,0.19,0.09,-0.02
2021-03-04 17:29:05.9430,0.22,0.07,-0.06
2021-03-04 17:29:05.9540,0.15,0.03,-0.12
2021-03-04 17:29:05.9620,0.07,0.02,-0.15
2021-03-04 17:29:05.9810,0,0.01,-0.14
2021-03-04 17:29:05.9830,-0.09,0.01,-0.1
2021-03-04 17:29:05.9920,-0.16,0.03,-0.09
